Category,Nutrient Data Bank Number,Alpha Carotene,Ash,Beta Carotene,Beta Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Kilocalories,Lutein and Zeaxanthin,Lycopene,Manganese,Niacin,Pantothenic Acid,Protein,Refuse Percentage,Retinol,Riboflavin,Selenium,Sugar Total,Thiamin,Water,Monosaturated Fat,Polysaturated Fat,Saturated Fat,Total Lipid,Major Minerals.Calcium,Major Minerals.Copper,Major Minerals.Iron,Major Minerals.Magnesium,Major Minerals.Phosphorus,Major Minerals.Potassium,Major Minerals.Sodium,Major Minerals.Zinc,Vitamin A - IU,Vitamin A - RAE,Vitamin B12,Vitamin B6,Vitamin C,Vitamin E,Vitamin K
BANQUET GRY & SALURY STK W/ MSHD POT & CORN IN SEASONSAU,22711,0,1.52,0,0,9.88,11,0,1.5,126,0,0,0,0,0,5.64,0,0,0,0,0.939999998,0,75.87,2.59,0.7,3.49,7.09,21,0,0.49,0,0,0,385,0,0,0,0,0,0,0,0
BANQUET HEARTY ONE STK DIN,22689,0,1.77,0,0,9.92,14,0,2.099999905,138,0,0,0,0,0,5.13,0,0,0,0,1.289999962,0,74.54,3.6,1.38,3.21,8.66,18,0,0.72,0,0,0,505,0,0,0,0,0,0,0,0
BANQUET ORIG FRIED CHK THIGH,22571,0,1.5,0,0,13.35,30,0,1.799999952,170,0,0,0,0,0,9.59,0,0,0,0,0.330000013,0,66.89,3.54,2.33,1.92,8.67,59,0,0.71,0,0,0,265,0,57,0,0,0,1.2,0,0
BANQUET SLCED BF W/GRY,22691,0,1.3,0,0,6.46,19,0,1.600000024,88,0,0,0,0,0,8.8,0,0,0,0,1.429999948,0,80.48,1.23,0.28,1.23,2.96,17,0,0.99,0,0,0,316,0,75,0,0,0,2.6,0,0
BANQUET TKY & GRY W/DRESS ,22607,0,1.52,0,0,10.87,14,0,3.099999905,99,0,0,0,0,0,5.93,0,0,0,0,1.899999976,0,78.19,1.48,1,0.85,3.49,22,0,0.67,0,0,0,401,0,130,0,0,0,2.8,0,0
BARBECUE LOAF,7001,0,4.04,0,0,6.4,37,0,0,173,0,0,0.04,2.266,1.57,15.84,0,0,0.248,21.3,0,0.36,64.82,4.14,0.81,3.17,8.9,55,0.07,1.16,17,132,329,1334,2.46,68,3,1.68,0.26,0,0,0
BARLEY,20004,0,2.29,13,0,73.48,0,0,17.29999924,354,160,0,1.943,4.604,0.282,12.48,0,0,0.285,37.7,0.800000012,0.646,9.44,0.295,1.108,0.482,2.3,33,0.498,3.6,133,264,452,12,2.77,22,1,0,0.318,0,0.57,2.2
BASIL,2044,0,1.49,3142,46,2.65,0,11,1.600000024,23,5650,0,1.148,0.902,0.209,3.15,36,0,0.076,0.3,0.300000012,0.034,92.06,0.088,0.389,0.041,0.64,177,0.385,3.17,64,56,295,4,0.81,5275,264,0,0.155,18,0.8,414.8
BASS,15003,0,1.52,0,0,0,68,0,0,114,0,0,0.889,1.25,0.75,18.86,0,30,0.074,12.6,0,0.075,75.66,1.431,1.062,0.78,3.69,80,0.093,1.49,30,200,356,70,0.65,100,30,2,0.12,2,0,0
BEANS,11029,0,0.5,0,0,4.1,0,0,0,29,0,0,0.182,2.92,0.368,4.2,0,0,0.25,0.6,0,0.37,90.7,0.039,0.276,0.072,0.5,17,0.159,0.81,21,37,187,6,0.4,2,0,0,0.085,38.7,0,0
BEAR,35007,0,0.4,0,0,0,0,0,0,155,0,0,0,3.2,0,20.1,0,0,0.68,0,0,0.16,71.2,0,0,0,8.3,0,0,7.2,0,162,0,0,0,260,0,0,0,0,0,0
BEECHNUTS,12077,0,3.7,0,0,33.5,0,0,0,576,0,0,1.341,0.877,0.925,6.2,39,0,0.371,0,0,0.304,6.6,21.892,20.089,5.719,50,1,0.67,2.46,0,0,1017,38,0.36,0,0,0,0.684,15.5,0,0
BEEF,13000,0,1.69,0,0,0,55,65,0,117,0,0,0.009,6.703,0.678,23.07,34,0,0.124,21.1,0,0.052,73.42,0.995,0.108,1.032,2.69,9,0.068,1.85,23,212,342,55,3.61,0,0,1.27,0.651,0,0.22,0.9
BEEF BROTH&TOMATO JUC,14114,0,0.9,0,0,8.5,0,0,0.100000001,37,0,0,0.028,0.164,0.036,0.6,0,0,0.029,0.7,0,0.001,89.9,0.029,0.022,0.032,0.1,11,0.017,0.58,3,13,96,131,0.02,128,6,0.05,0.024,0.9,0,0
